Crop ,Site,Year,Rotation,0,40,80,120,160,200,240,Max N applied,a,b,c,Max N rate ,Max Yield,EONR,YEONR,60,180
corn,McNay,2009,CC,35.22,40.8,38.08,40.8,43.57,71.18,80.41,240,-27.05,0.4605,,240,83.5,240,83.5,,
corn,McNay,2010,CC,8.82,24.36,47.3,82.42,115.35,114.99,118.8,240,0.4,0.83777,-0.0013357,240,124.5,240,124.5,,
corn,McNay,2011,CC,22.98,47.25,70.29,95.91,148.46,158.51,173.44,240,18.39,0.77468,-0.0004299,240,179.6,240,179.6,,
corn,McNay,2012,CC,19.35,31.07,26.26,31.91,31.45,37.87,44.54,240,21.67,0.08425,,240,41.9,0,21.7,,
corn,McNay,2013,CC,11.03,45.11,60.82,103.25,130.2,145.33,146.29,240,10.79,0.7412,,182.2,145.8,182.2,145.8,,
corn,McNay,2014,CC,15.42,30.72,51.91,99.64,145.79,174.02,212.11,240,0.24,0.86656,,240,208.2,240,208.2,,
corn,McNay,2015,CC,27.1,44.35,53.32,69.52,109.33,121.12,131.19,240,23.51,0.46593,,240,135.3,240,135.3,,
corn,McNay,2016,CC,27.67,68.58,126.52,194.66,203.9,212.92,220.7,240,17.92,1.7914,-0.0039562,226.4,220.7,213.8,220.1,,
corn,Crawfordsville,1999,SC,121.1,140.9,154.7,160.1,165,157.1,162.3,240,121.1,0.5841,-0.00212,137.8,161.3,114.2,160.2,,
corn,Crawfordsville,2000,SC,116.4,162.5,173.3,178.6,179.2,174.9,170.4,240,116.4,1.5724,-0.0105,74.9,175.3,70.1,175,,
corn,Crawfordsville,2001,SC,109.9,111.7,123,126,120.8,126.5,120.4,240,108.3,0.2208,-0.0008,137.3,123.4,75.5,120.4,,
corn,Crawfordsville,2002,SC,123.8,142.4,156.9,160.2,178.2,165.6,163.8,240,123.87,0.52145,-0.0015321,170.2,168.2,137.5,166.6,,
corn,Crawfordsville,2003,SC,131.6,159.5,167.5,186,166.1,178.8,171.8,240,132.6,0.71244,-0.0029664,120.1,175.4,103.2,174.5,,
corn,Crawfordsville,2004,SC,109.62,128.24,158.17,165.44,181.28,204.34,197.66,240,112.45,0.4513,,196.2,201,196.2,201,,
corn,Crawfordsville,2005,SC,101.18,126.58,135.71,160.09,140.93,174.65,164.76,240,103,0.4647,,122.9,160.1,122.9,160.1,,
corn,Crawfordsville,2006,SC,153.72,174.98,215.65,215.23,222.31,230.83,231.13,240,152.46,0.82688,-0.0022331,185.1,229,162.7,227.9,,
corn,Crawfordsville,2007,SC,90.33,118.16,158.94,193.5,217.64,223.95,213.35,240,87.69,0.8757,,149.2,218.3,149.2,218.3,,
corn,Crawfordsville,2008,SC,113.67,133.34,174.79,175.82,211.22,218.96,225.07,240,114.3,0.5937,,181.5,221.2,181.5,222.1,,
corn,Crawfordsville,2009,SC,90.73,157.34,179.63,215.55,219.16,219.49,229.78,240,93.92,1.54431,-0.0046187,167.2,223,156.4,222.5,,
corn,Crawfordsville,2010,SC,47.24,133.15,159.59,159.64,162.05,160.91,166.46,240,47.24,2.8644,-0.017916,79.9,161.7,77.1,161.6,,
corn,Crawfordsville,2011,SC,59.34,91.94,118.82,175.18,179.77,193.74,196,240,53.67,1.17328,-0.0023793,240,198.2,225.5,197.3,,
corn,Crawfordsville,2012,SC,129.52,130.07,160.71,143.13,163.68,156.09,158.65,240,127.09,0.32711,-0.0008562,191,158.3,132.6,155.4,,
corn,Crawfordsville,2013,SC,47.04,98.57,128.85,153.51,127.53,130.85,144.41,240,47.1,1.53997,-0.0064473,119.4,139.1,111.7,138.7,,
corn,Crawfordsville,2014,SC,91.4,127.46,160.6,184.23,191.16,210.13,201.64,240,91,1.0468,-0.0024101,217.2,204.7,196.4,203.6,,
corn,Crawfordsville,2015,SC,78.09,117.65,162.11,198.12,204,206.19,201.32,240,73.69,1.45073,-0.0039978,181.4,205.3,168.9,204.7,,
corn,Crawfordsville,2016,SC,127.57,168.78,218.55,235.26,231.39,235.45,234.4,240,124.2,1.54617,-0.0054018,143.1,234.8,133.9,234.4,,
corn,Crawfordsville,2000,CC,54.8,81.2,126.6,145.1,168.7,170,165.4,240,49.8,1.1344,-0.00269,210.9,169.4,192.3,168.5,,
corn,Crawfordsville,2001,CC,66.6,69.1,89.8,92.6,98.9,98.1,103.7,240,64,0.3146,-0.00064,244.4,102.4,167.7,98.8,,
corn,Crawfordsville,2002,CC,47.2,69.5,88.6,89.6,96.1,96,94.5,240,47.11,0.65778,-0.0022599,145.5,95,123.4,93.9,,
corn,Crawfordsville,2003,CC,33.3,50.1,78.6,91.5,101.6,98.2,96.8,240,30.1,0.74503,-0.0020099,185.3,99.1,160.5,97.9,,
corn,Crawfordsville,2004,CC,71.15,83.97,124.41,136.05,175.56,181.38,196.91,240,71.71,0.55647,,240,205.3,240,205.3,,
corn,Crawfordsville,2005,CC,40.43,39.64,73.33,80.58,92.41,93.12,110.55,240,36.3,0.3623,,180.9,101.8,180.9,101.8,,
corn,Crawfordsville,2006,CC,76.35,101.16,150.38,173.28,196.54,204.56,216.06,240,71.57,1.08549,-0.0020225,240,215.6,240,215.6,,
corn,Crawfordsville,2007,CC,31.32,41.26,81.5,106.18,147.43,167.56,190.8,240,24.05,0.71158,,240,194.8,240,194.8,,
corn,Crawfordsville,2008,CC,58.44,82.41,105.21,114.99,138.04,157.69,171.31,240,62.35,0.46616,,240,174.2,240,174.2,,
corn,Crawfordsville,2009,CC,46.62,69.28,119.33,154.84,163.2,189.37,187.81,240,39.56,1.15823,-0.0021935,240,191.2,240,191.2,,
corn,Crawfordsville,2010,CC,20.44,103.21,138.25,153.17,146.86,148.16,149.99,240,21.33,2.4421,-0.011669,104.6,149.1,100.4,148.9,,
corn,Crawfordsville,2011,CC,26.5,37.8,78.16,105.26,148.42,154.45,160.08,240,16.07,0.92871,-0.0012494,240,167,240,167,,
corn,Crawfordsville,2012,CC,56.53,84.87,100.14,126.67,123.27,135.53,127.91,240,56.57,0.75462,-0.0019125,197.3,131,171.1,129.7,,
corn,Crawfordsville,2013,CC,25.71,47.55,83.96,80.53,72.92,100.11,86.08,240,23.34,0.93045,-0.0034595,134.5,85.9,120,85.2,,
corn,Crawfordsville,2014,CC,48.69,74.58,123.54,154.06,161.42,168.18,179.62,240,43.98,1.1493,-0.0024958,230.3,176.3,210.2,175.3,,
corn,Crawfordsville,2015,CC,49.75,84.04,123.36,137.71,146.97,154.23,172.55,240,52.15,0.92234,-0.0018626,240,166.2,220.8,165,,
corn,Crawfordsville,2016,CC,81.75,126.96,190.68,215.96,231.15,228.99,228.74,240,76.86,1.73814,-0.0049196,176.7,230.4,166.5,229.9,,
corn,Sutherland,2001,SC,104.3,119.8,142.7,149.2,144.1,144.5,141.7,240,102.5,0.6663,-0.00261,127.7,145,108.5,144.1,,
corn,Sutherland,2002,SC,95.2,116.5,111.8,114.5,123.9,117.8,120.2,240,95.24,0.87014,-0.0084472,51.5,117.7,45.6,117.4,,
corn,Sutherland,2003,SC,132.1,167.6,170.3,175.5,175.9,173.2,179.3,240,132.1,1.25641,-0.0092353,68,174.9,62.6,174.6,,
corn,Sutherland,2004,SC,62.8,68.3,66.59,67.63,62.47,65.41,70.01,240,62.8,,,0,62.8,0,62.8,,
corn,Sutherland,2005,SC,173.16,190.78,201.01,197.89,194.41,192.88,199.05,240,173.12,0.59181,-0.003663,80.8,197,67.1,196.3,,
corn,Sutherland,2006,SC,142.11,157.32,158.69,170.25,173.2,172.96,170.46,240,142.84,0.32088,-0.0008749,183.4,172.3,126.2,169.4,,
corn,Sutherland,2007,SC,113.41,144.04,166.15,172.78,180.14,181.68,196.59,240,116.23,0.69825,-0.0016992,205.5,188,176,186.5,,
corn,Sutherland,2008,SC,140.1,177.62,208.62,224.02,237.51,236.39,232.06,240,139.78,1.09469,-0.0031441,174.1,235.1,158.2,234.3,,
corn,Sutherland,2009,SC,135.57,173.31,205.4,203.86,213.36,214.72,218.15,240,135.58,1.14786,-0.0042176,136.1,213.7,124.2,213.1,,
corn,Sutherland,2010,SC,127.9,174.55,204.59,209.19,219.58,218.3,219.03,240,128.68,1.31375,-0.0048653,135,217.4,124.7,216.9,,
corn,Sutherland,2011,SC,124.3,155.73,172.44,186.85,171.13,178.69,178.45,240,124.51,0.91981,-0.0039021,117.9,178.7,105,178.1,,
corn,Sutherland,2012,SC,133.26,178.14,198.27,219.27,214.48,231.45,238.28,240,138.13,0.91749,-0.0022481,204.1,231.7,181.8,230.6,,
corn,Sutherland,2013,SC,133.26,178.14,198.27,219.27,214.48,231.45,238.28,240,138.13,0.91749,-0.0022481,204.1,231.7,181.8,230.6,,
corn,Sutherland,2014,SC,120.42,154.94,187.92,196.03,201.26,206.19,207.16,240,119.99,1.06404,-0.0033482,158.9,204.5,144,203.8,,
corn,Sutherland,2015,SC,154.02,189.75,213.2,213.27,212.6,222.82,224.62,240,153.72,1.11694,-0.0048205,115.9,218.4,105.5,217.9,,
corn,Sutherland,2016,SC,147.8,206,240.39,238.48,241.43,252.48,253.85,240,147.56,1.81115,-0.0082757,109.4,246.7,103.4,246.4,,
corn,Sutherland,2000,CC,114.2,133,125.1,142.5,135.5,137,139.6,240,116.1,0.2992,-0.00103,145.5,137.9,96.7,135.4,,
corn,Sutherland,2001,CC,54.9,85.8,123.6,121.2,125,114.8,118.15,240,52.7,1.2363,-0.00563,109.8,120.6,100.9,120.1,,
corn,Sutherland,2002,CC,58.7,78.2,87.1,88.5,93.7,90.6,95.1,240,59.13,0.53517,-0.0021839,122.5,91.9,99.6,90.8,,
corn,Sutherland,2003,CC,77.6,113.6,129.2,136.8,141.4,136.6,137.6,240,78.4,0.99391,-0.0041455,119.9,137.9,107.8,137.4,,
corn,Sutherland,2004,CC,48.81,61.25,64.05,63.18,67.84,63.37,64.72,240,48.81,0.42535,-0.0028587,74.4,64.6,56.9,63.8,,
corn,Sutherland,2005,CC,142.65,178.62,181.7,187.18,190.65,190.18,184.19,240,142.65,1.2577,-0.0089608,70.2,186.8,64.6,186.5,,
corn,Sutherland,2006,CC,95.66,127.86,139.6,157.91,151.54,143.04,144.93,240,98.87,0.70922,-0.0022478,155,154.8,135.5,153.7,,
corn,Sutherland,2007,CC,76.99,119.51,138.56,169.56,172.01,178.74,170.19,240,77.55,1.08906,-0.0030583,178.1,174.5,161.7,173.7,,
corn,Sutherland,2008,CC,96.47,113.06,146.75,182.68,184.17,187.89,185.55,240,89.5,0.96315,-0.0023467,205.2,188.3,183.9,187.3,,
corn,Sutherland,2009,CC,66.83,112.21,138.55,173.65,176.83,175.61,174.71,240,65.97,1.29095,-0.0037685,171.3,176.5,158,175.9,,
corn,Sutherland,2010,CC,80.45,112.48,147.72,179.35,193.17,208.25,214.89,240,78.05,1.04199,-0.0019596,240,215.3,240,215.3,,
corn,Sutherland,2011,CC,75.15,122.05,139.64,161.12,167.63,169.31,160.12,240,77.18,1.12526,-0.0035837,157,165.5,143,164.8,,
corn,Sutherland,2012,CC,52.89,106.24,122.44,163.33,177.17,171.42,183.8,240,54.19,1.24651,-0.0031192,199.8,178.7,183.8,177.9,,
corn,Sutherland,2013,CC,99.38,109.29,149.82,162.91,183.36,201.78,215.77,240,95.02,0.64156,-0.0005612,240,216.7,240,216.7,,
corn,Sutherland,2014,CC,53.06,88.92,130.38,158.41,168.88,182.53,193.5,240,52.28,1.11095,-0.0022217,240,190.9,227.5,190,,
corn,Sutherland,2015,CC,101.93,160.22,187.6,201.06,201.01,209.58,212.18,240,103.67,1.53547,-0.0057405,133.7,206.3,125,205.9,,
corn,Sutherland,2016,CC,110.21,176.81,211.22,232.48,241.18,259.4,238.27,240,113.04,1.65083,-0.0051442,160.5,245.5,150.7,245,,
corn,Kanawha,2005,SC,95.92,117.63,139.27,141.76,149.52,139.32,142.18,240,95.04,0.74731,-0.0028797,129.8,143.5,112.4,142.7,,
corn,Kanawha,2006,SC,146.87,173.2,193.71,200.68,210.87,213.4,209.64,240,147.61,0.70193,-0.0019357,181.3,211.2,155.5,210,,
corn,Kanawha,2007,SC,88.48,135.61,162.84,170.94,178.7,143.68,175.49,240,88.3,1.47083,-0.0068483,107.4,167.3,100.1,166.9,,
corn,Kanawha,2008,SC,73.06,115.4,148.92,163.48,183.49,173.54,185.71,240,73.38,1.17606,-0.0032259,182.3,180.6,166.8,179.8,,
corn,Kanawha,2009,SC,103.17,129.62,157.22,164.18,174.94,160.54,172.48,240,102.28,0.86914,-0.0028219,154,169.2,136.3,168.3,,
corn,Kanawha,2010,SC,107.2,124.96,146.72,160.5,174.81,170.52,174.26,240,104.9,0.65142,-0.0015367,212,173.9,179.4,172.3,,
corn,Kanawha,2011,SC,128.43,149.19,154.42,165.86,169.48,161.99,167.07,240,129.42,0.47897,-0.0015582,153.7,166.2,121.6,164.6,,
corn,Kanawha,2012,SC,112.49,125.21,127.51,132.72,139.67,126.17,141.83,240,113.39,0.26242,-0.0007782,168.6,135.5,104.4,132.3,,
corn,Kanawha,2013,SC,114.86,134.86,162.81,169.86,184.4,183.5,203.97,240,115.96,0.57148,-0.0009443,240,198.7,240,198.7,,
corn,Kanawha,2014,SC,118.93,130.68,168.73,173.55,183.34,185.83,189.53,240,115.46,0.6926,-0.0016553,209.2,187.9,179,186.4,,
corn,Kanawha,2015,SC,117.93,137.75,154.7,160,165.22,160,171.03,240,117.99,0.57709,-0.0017625,163.7,165.2,135.3,163.8,,
corn,Kanawha,2016,SC,122.76,158.02,185.96,223.29,228.69,247.11,244.44,240,120.79,1.05969,-0.0022352,237.1,246.4,214.7,245.3,,
corn,Kanawha,2006,CC,70.31,105.53,134.94,161.37,170.46,175.88,174.53,240,69.1,1.05649,-0.0026238,201.3,175.4,182.3,174.5,,
corn,Kanawha,2007,CC,39.8,66.32,108.34,107.11,103.77,102.73,96.07,240,36.76,1.18461,-0.0052612,112.6,103.4,103.1,103,,
corn,Kanawha,2008,CC,49.56,56.17,87.01,110.81,126.89,124.21,127.47,240,41.7,0.72179,-0.0014836,243.3,129.5,209.6,127.8,,
corn,Kanawha,2009,CC,72.58,99.46,113.75,135.27,136.89,132.14,134.56,240,72.06,0.76301,-0.0023114,165.1,135,143.4,133.9,,
corn,Kanawha,2010,CC,76,94.63,116.38,123.7,139.71,150.27,153.7,240,75.84,0.53283,-0.0008522,240,154.6,240,154.6,,
corn,Kanawha,2011,CC,62.32,106.94,135.23,145.03,144.32,144.04,149.66,240,62.27,1.33449,-0.0053279,125.2,145.8,115.9,145.4,,
corn,Kanawha,2012,CC,58.71,75.73,86.77,91.21,99.38,96.93,112.02,240,61.5,0.31627,-0.0005182,240,107.6,208.7,104.9,,
corn,Kanawha,2013,CC,90.71,112.66,150.87,146.81,166.74,170.62,182.86,240,91.91,0.67185,-0.0012803,240,179.4,223.3,178.1,,
corn,Kanawha,2014,CC,71.66,82.63,100.2,107.69,131.28,145.64,149.74,240,69.68,0.38196,-0.0001356,240,153.5,240,153.5,,
corn,Kanawha,2015,CC,61.32,97.55,120.86,132.56,144.53,162.83,153.62,240,63.79,0.82669,-0.0018414,224.5,156.6,197.3,155.2,,
corn,Kanawha,2016,CC,98.44,140.03,181.99,208.24,223.72,227.88,231.05,240,96.74,1.3029,-0.0031894,204.3,229.8,188.6,229,,
corn,Nashua,2005,SC,104.07,150.99,157.13,190.73,183.98,194.94,189.71,240,106.61,1.01641,-0.0030915,164.4,190.2,148.2,189.3,,
corn,Nashua,2006,SC,120.39,149.58,154.37,166.47,165.17,179.65,175.63,240,124.8,0.46914,-0.0010744,215,176,171.8,173.7,,
corn,Nashua,2007,SC,93.82,133.33,176.83,206.14,221.81,224.53,220.16,240,90.47,1.35894,-0.0034682,195.9,223.6,181.5,222.9,,
corn,Nashua,2008,SC,76.52,110.94,141.18,181.86,209.76,206.6,214.78,240,75.67,0.8657,,155.6,210.4,155.6,210.4,,
corn,Nashua,2009,SC,100.48,130.03,173.17,208.44,209.61,209.45,203.14,240,98.13,0.9119,,120,207.6,120,207.6,,
corn,Nashua,2010,SC,96.54,141.18,155.62,187.62,200.78,199.21,197.09,240,97.57,1.05662,-0.0027388,192.9,199.5,174.6,198.6,,
corn,Nashua,2011,SC,117.59,171.3,195.31,231.35,244.16,243.52,236.46,240,118.25,1.36596,-0.0037785,180.8,241.7,167.5,241,,
corn,Nashua,2012,SC,97.94,142.56,142.97,154.98,172.03,160.45,171.41,240,103.46,0.73754,-0.002152,171.4,166.7,148.1,165.5,,
corn,Nashua,2013,SC,71.89,98.71,152.64,171.72,203.03,199.56,199.16,240,70.73,0.8836,,147,200.6,147,200.6,,
corn,Nashua,2014,SC,63.2,103.71,132.44,158.26,187.19,199.87,200.57,240,62.44,1.07617,-0.0020319,240,203.7,240,203.7,,
corn,Nashua,2015,SC,84.65,124.35,163.07,192.96,227.22,233.57,226.72,240,80.28,1.31212,-0.002828,232,232.5,214.3,231.6,,
corn,Nashua,2016,SC,65.51,120.28,149.07,186.02,210.94,229.13,231.03,240,75.05,0.8915,,173.9,230.1,173.9,230.1,,
corn,Nashua,2005,CC,64.44,86.29,104.95,125.33,151.84,169.82,172.93,240,63.97,0.5314,,205,172.9,205,172.9,,
corn,Nashua,2006,CC,78.13,108.31,134,152.41,149.98,156.73,157.55,240,79.4,0.81914,-0.002107,190,159,170.7,157.8,,
corn,Nashua,2007,CC,48.9,85.76,101.32,157.41,179.66,184.41,187.73,240,43.64,1.13477,-0.0021534,240,192,240,192,,
corn,Nashua,2008,CC,48.15,64.99,87.51,113.22,129.4,148.66,162.42,240,48.62,0.49289,,240,166.9,240,166.9,,
corn,Nashua,2009,CC,54.28,94.74,130.04,163.55,170.57,166.63,168.65,240,51.5,1.32806,-0.0037357,177.8,169.5,164.4,168.9,,
corn,Nashua,2010,CC,67.27,85.5,111.32,146.95,164.19,179.04,186.09,240,61.65,0.79599,-0.0010979,240,189.4,240,189.4,,
corn,Nashua,2011,CC,69.2,112.53,156.26,198.87,210.79,224.32,230.95,240,66.46,1.38984,-0.0029522,235.4,230,218.5,229.2,,
corn,Nashua,2012,CC,64.45,102.03,123.58,144.98,134.21,135.89,137.67,240,64.11,1.11597,-0.0042281,132,137.8,120.1,137.2,,
corn,Nashua,2013,CC,66.66,91.22,107.57,133.35,164.4,174.13,181.67,240,65.12,0.594,,189.9,177.9,189.9,177.9,,
corn,Nashua,2014,CC,47,77.75,104.93,136.31,153.13,172.33,181.64,240,45.53,0.88723,-0.0013111,240,183,240,182.9,,
corn,Nashua,2015,CC,55.68,99.7,157.9,184.81,211.49,213.07,228.4,240,53.18,1.48752,-0.0032351,229.9,224.2,214.4,223.4,,
corn,Nashua,2016,CC,39.69,70.45,106.34,155.73,202.6,202.17,224.78,240,39.62,0.8988,,206,224.8,206,224.8,,
corn,Ames,2000,SC,153.4,,,164.2,,,164.5,240,153.4,0.4418,-0.00393,56.2,165.8,43.5,165.2,170.2,164.4
corn,Ames,2001,SC,124.6,,,172.4,,,169.9,240,124.6,0.9632,-0.00486,99.1,172.3,88.8,171.8,164.9,174.7
