recdate,legendtextkind,textcat,textsubcat,text,lkey,legtextkey
271C3         |Timula silt loam, 5 to 10 percent slopes, severely eroded |271C3  |Timula silt loam, 5 to 10 percent slopes, severely eroded 

274B          |Seaton silt loam, 2 to 5 percent slopes       |274B   |Seaton silt loam, 2 to 5 percent slopes       

274F|Seaton silt loam, 18 to 35 percent slopes|274F|Seaton silt loam, 18 to 35 percent slopes

274G          |Seaton silt loam, 30 to 50 percent slopes     |274G   |Seaton silt loam, 35 to 60 percent slopes     
274G          |Seaton silt loam, 35 to 60 percent slopes     ||

278A          |Stronghurst silt loam, 0 to 2 percent slopes  |278A   |Stronghurst silt loam, 0 to 2 percent slopes  

279B          |Rozetta silt loam, 2 to 5 percent slopes      |279B   |Rozetta silt loam, 2 to 5 percent slopes      

279C2         |Rozetta silt loam, 5 to 10 percent slopes, eroded |279C2  |Rozetta silt loam, 5 to 10 percent slopes, eroded 

279C3         |Rozetta silty clay loam, 5 to 10 percent slopes, severely eroded |279C3  |Rozetta silty clay loam, 5 to 10 percent slopes, severely eroded 

280B          |Fayette silt loam, 2 to 5 percent slopes      |280B   |Fayette silt loam, 2 to 5 percent slopes      

280C2         |Fayette silt loam, 5 to 10 percent slopes, eroded |280C2  |Fayette silt loam, 5 to 10 percent slopes, eroded 

280C3         |Fayette silty clay loam, 5 to 10 percent slopes, severely eroded |280C3  |Fayette silty clay loam, 5 to 10 percent slopes, severely eroded 

280D2         |Fayette silt loam, 10 to 15 percent slopes, eroded |280D2  |Fayette silt loam, 10 to 18 percent slopes, eroded 
280D2         |Fayette silt loam, 10 to 18 percent slopes, eroded||

280D3         |Fayette silty clay loam, 10 to 15 percent slopes, severely eroded|280D3  |Fayette silty clay loam, 10 to 18 percent slopes, severely eroded 
280D3         |Fayette silty clay loam, 10 to 18 percent slopes, severely eroded||

283B          |Downsouth silt loam, 2 to 5 percent slopes    |283B   |Downsouth silt loam, 2 to 5 percent slopes    
386B          |Downs silt loam, 2 to 5 percent slopes        ||

283C2         |Downsouth silt loam, 5 to 10 percent slopes, eroded|283C2  |Downsouth silt loam, 5 to 10 percent slopes, eroded
386C2         |Downs silt loam, 5 to 10 percent slopes, eroded ||

403G          |Elizabeth very channery silt loam, 30 to 60 percent slopes|403G   |Elizabeth very channery silt loam, 35 to 60 percent slopes
403G          |Elizabeth very channery silt loam, 35 to 60 percent slopes||

36B           |Tama silt loam, 1 to 5 percent slopes         |441B   |Wakenda silt loam, 2 to 5 percent slopes      
441B          |Wakenda silt loam, 2 to 5 percent slopes      ||

472D2         |Baylis silt loam, 10 to 15 percent slopes, eroded |472D2  |Baylis silt loam, 10 to 18 percent slopes, eroded 
472D2         |Baylis silt loam, 10 to 18 percent slopes, eroded  ||

472E2         |Baylis silt loam, 15 to 30 percent slopes, eroded |472E2  |Baylis silt loam, 18 to 25 percent slopes, eroded 

477B          |Winfield silt loam, 2 to 5 percent slopes     |477B   |Winfield silt loam, 2 to 5 percent slopes     

477C2         |Winfield silt loam, 5 to 10 percent slopes, eroded |477C2  |Winfield silt loam, 5 to 10 percent slopes, eroded 

477C3         |Winfield silty clay loam, 5 to 10 percent slopes, severely eroded |477C3  |Winfield silty clay loam, 5 to 10 percent slopes, severely eroded 

5C2           |Blair silt loam, 5 to 10 percent slopes, eroded |515C2  |Bunkum silt loam, 5 to 10 percent slopes, eroded 
515C2         |Bunkum silt loam, 5 to 10 percent slopes, eroded||

5C3           |Blair silty clay loam, 5 to 10 percent slopes, severely eroded|515C3  |Bunkum silty clay loam, 5 to 10 percent slopes, severely eroded
515C3         |Bunkum silty clay loam, 5 to 10 percent slopes, severely eroded||

5D2           |Blair silt loam, 10 to 15 percent slopes, eroded|515D2  |Bunkum silt loam, 10 to 18 percent slopes, eroded 
515D2         |Bunkum silt loam, 10 to 18 percent slopes, eroded||

5D3           |Blair silty clay loam, 10 to 15 percent slopes, severely eroded|515D3  |Bunkum silty clay loam, 10 to 18 percent slopes, severely eroded
515D3         |Bunkum silty clay loam, 10 to 18 percent slopes, severely eroded||

549E2         |Marseilles silt loam, 18 to 25 percent slopes, eroded|549E2  |Marseilles silt loam, 18 to 25 percent slopes, eroded
551E2         |Gosport silt loam, 15 to 20 percent slopes, eroded||

549F          |Marseilles silt loam, 18 to 35 percent slopes  |549F   |Marseilles silt loam, 18 to 35 percent slopes  
551E2         |Gosport silt loam, 15 to 20 percent slopes, eroded ||

549G          |Marseilles silt loam, 35 to 60 percent slopes |549G   |Marseilles silt loam, 35 to 60 percent slopes 
551G          |Gosport silt loam, 20 to 60 percent slopes    ||

8E            |Hickory loam, 15 to 30 percent slopes         |559F   |Lindley loam, 18 to 35 percent slopes         
559F          |Lindley loam, 18 to 35 percent slopes         ||
937E          |Seaton-Hickory complex, 15 to 30 percent slopes||

8G            |Hickory silt loam, 30 to 60 percent slopes     |559G   |Lindley loam, 35 to 60 percent slopes         
559G          |Lindley loam, 35 to 60 percent slopes         ||

606E          |Goss gravelly silt loam, 15 to 30 percent slopes|606F   |Goss gravelly silt loam, 18 to 35 percent slopes 
606F          |Goss gravelly silt loam, 18 to 35 percent slopes||

606G          |Goss gravelly silt loam, 35 to 60 percent slopes|606G   |Goss gravelly silt loam, 35 to 60 percent slopes 
606G          |Goss gravelly silt loam, 30 to 60 percent slopes||

19B2          |Sylvan silt loam, 2 to 5 percent slopes, eroded|630B2  |Navlys silt loam, 2 to 5 percent slopes, eroded 
630B2         |Navlys silt loam, 2 to 5 percent slopes, eroded||

19C2          |Sylvan silt loam, 5 to 10 percent slopes, eroded|630C2  |Navlys silt loam, 5 to 10 percent slopes, eroded
630C2         |Navlys silt loam, 5 to 10 percent slopes, eroded||

19C3          |Sylvan silty clay loam, 5 to 10 percent slopes, severely eroded|630C3  |Navlys silty clay loam, 5 to 10 percent slopes, severely eroded 
630C3         |Navlys silty clay loam, 5 to 10 percent slopes, severely eroded||

8D2           |Hickory silt loam, 10 to 15 percent slopes, eroded|651D2  |Keswick loam, 10 to 18 percent slopes, eroded 
605D2         |Ursa silt loam, 10 to 15 percent slopes, eroded||
651D2         |Keswick loam, 10 to 18 percent slopes, eroded ||

8D3           |Hickory silty clay loam, 10 to 15 percent slopes, severely eroded|651D3  |Keswick clay loam, 10 to 18 percent slopes, severely eroded
605D3         |Ursa silty clay loam, 10 to 15 percent slopes, severely eroded||
651D3         |Keswick clay loam, 10 to 18 percent slopes, severely eroded||

8E2           |Hickory silt loam, 15 to 30 percent slopes, eroded|651E2  |Keswick loam, 18 to 25 percent slopes, eroded 
605E2         |Ursa silt loam, 15 to 20 percent slopes, eroded||
651E2         |Keswick loam, 18 to 25 percent slopes, eroded ||

5C2           |Blair silt loam, 5 to 10 percent slopes, eroded |652C2  |Passport silt loam, 5 to 10 percent slopes, eroded
652C2         |Passport silt loam, 5 to 10 percent slopes, eroded||

5C3           |Blair silty clay loam, 5 to 10 percent slopes, severely eroded|652C3  |Passport silty clay loam, 5 to 10 percent slopes, severely eroded
652C3         |Passport silty clay loam, 5 to 10 percent slopes, severely eroded||

5D2           |Blair silt loam, 10 to 15 percent slopes, eroded|652D2  |Passport silt loam, 10 to 18 percent slopes, eroded
652D2         |Passport silt loam, 10 to 18 percent slopes, eroded||

5D3           |Blair silty clay loam, 10 to 15 percent slopes, severely eroded|652D3  |Passport silty clay loam, 10 to 18 percent slopes, severely eroded 
652D3         |Passport silty clay loam, 10 to 18 percent slopes, severely eroded||

605D2         |Ursa silt loam, 10 to 15 percent slopes, eroded|655D2  |Ursa silt loam, moderately wet, 10 to 18 percent slopes, eroded
655D2         |Ursa silt loam, moderately wet, 10 to 18 percent slopes, eroded||

605D3         |Ursa silty clay loam, 10 to 15 percent slopes, severely eroded|655D3  |Ursa silty clay loam, moderately wet, 10 to 18 percent slopes, severely eroded 
655D3         |Ursa silty clay loam, moderately wet, 10 to 18 percent slopes, severely eroded||

605E2         |Ursa silt loam, 15 to 20 percent slopes, eroded|655E2  |Ursa silt loam, moderately wet, 18 to 25 percent slopes, eroded
655E2         |Ursa silt loam, moderately wet, 18 to 25 percent slopes, eroded||

46            |Herrick silt loam                             |699A   |Timewell silt loam, 0 to 2 percent slopes     
699A          |Timewell silt loam, 0 to 2 percent slopes     ||

785G          |Lacrescent channery silt loam, 30 to 70 percent slopes|785G   |Lacrescent channery silt loam, 35 to 60 percent slopes
785G          |Lacrescent channery silt loam, 35 to 60 percent slopes||

835G          |Earthen Dam                                   |835G   |Earthen Dam              

271E2         |Timula silt loam, 15 to 30 percent slopes, eroded|856E2  |Stookey and Timula soils, 18 to 25 percent slopes, eroded
274E2         |Seaton silt loam, 15 to 30 percent slopes, eroded ||
856E2         |Stookey and Timula soils, 18 to 25 percent slopes, eroded||

274E          |Seaton silt loam, 15 to 30 percent slopes     |856F   |Stookey and Timula soils, 18 to 35 percent slopes
856F          |Stookey and Timula soils, 18 to 35 percent slopes||
937E          |Seaton-Hickory complex, 15 to 30 percent slopes||

274G          |Seaton silt loam, 30 to 50 percent slopes     |856G   |Stookey and Timula soils, 35 to 60 percent slopes
856G          |Stookey and Timula soils, 35 to 60 percent slopes||

864           |Pits, quarries                                |864    |Pits, quarries       

865           |Pits, gravel                                  |865    |Pits, gravel   

274E          |Seaton silt loam, 15 to 30 percent slopes     |274F  |Seaton silt loam, 18 to 35 percent slopes
274F          |Seaton silt loam, 18 to 35 percent slopes||

1070L         |Beaucoup silty clay loam, 0 to 2 percent slopes, undrained, occasionally flooded, long duration|1070L  |Beaucoup silty clay loam, 0 to 2 percent slopes, undrained, occasionally flooded, long duration

4070          |Beaucoup silty clay loam, ponded              ||
3028          |Jules silt loam, frequently flooded           |3028A  |Jules silt loam, 0 to 2 percent slopes, frequently flooded 
3028A         |Jules silt loam, 0 to 2 percent slopes, frequently flooded||

3070          |Beaucoup silt loam, frequently flooded        |3070A  |Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded
3070A         |Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded||

3070L         |Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration|3070L  |Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration 
3070L         |Beaucoup silt loam, frequently flooded, long duration||
4070          |Beaucoup silty clay loam, ponded              ||

3071L         |Darwin silty clay, 0 to 2 percent slopes, frequently flooded, long duration|3071L  |Darwin silty clay, 0 to 2 percent slopes, frequently flooded, long duration 
3071L         |Darwin silty clay, frequently flooded, long duration||

3092          |Sarpy loamy sand, frequently flooded          |3092A  |Sarpy loamy sand, 0 to 2 percent slopes, frequently flooded 
3092A         |Sarpy loamy sand, 0 to 2 percent slopes, frequently flooded||

3092L         |Sarpy loamy fine sand, 0 to 2 percent slopes, frequently flooded, long duration|3092L  |Sarpy loamy fine sand, 0 to 2 percent slopes, frequently flooded, long duration
3092L         |Sarpy loamy sand, frequently flooded, long duration||

3162A         |Gorham silty clay loam, 0 to 2 percent slopes, frequently flooded|3162A  |Gorham silty clay loam, 0 to 2 percent slopes, frequently flooded

3302          |Ambraw silty clay loam, sandy substratum, frequently flooded||

3302L         |Ambraw silty clay loam, frequently flooded, long duration|3302L  |Ambraw clay loam, 0 to 2 percent slopes, frequently flooded, long duration
3302L         |Ambraw clay loam, 0 to 2 percent slopes, frequently flooded, long duration||

3331          |Haymond silt loam, frequently flooded         |3331A  |Haymond silt loam, 0 to 2 percent slopes, frequently flooded 
3331A         |Haymond silt loam, 0 to 2 percent slopes, frequently flooded||

3331L         |Haymond silt loam, frequently flooded, long duration|3331L  |Haymond silt loam, 0 to 2 percent slopes, frequently flooded, long duration
3331L         |Haymond silt loam, 0 to 2 percent slopes, frequently flooded, long duration||

3333          |Wakeland silt loam, frequently flooded, brief duration|3333A  |Wakeland silt loam, 0 to 2 percent slopes, frequently flooded
3333A         |Wakeland silt loam, 0 to 2 percent slopes, frequently flooded||

3333L         |Wakeland silt loam, frequently flooded, long duration|3333L  |Wakeland silt loam, 0 to 2 percent slopes, frequently flooded, long duration 
3333L         |Wakeland silt loam, 0 to 2 percent slopes, frequently flooded, long duration||

3404          |Titus silty clay loam, frequently flooded     |3404A  |Titus silty clay loam, 0 to 2 percent slopes, frequently flooded
3404A         |Titus silty clay loam, 0 to 2 percent slopes, frequently flooded||

3404L         |Titus silty clay loam, frequently flooded, long duration|3404L  |Titus silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration
3404L         |Titus silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration||

3415          |Orion silt loam, frequently flooded           |3415A  |Orion silt loam, 0 to 2 percent slopes, frequently flooded 
3415A         |Orion silt loam, 0 to 2 percent slopes, frequently flooded||

3415L         |Orion silt loam, 0 to 2 percent slopes, frequently flooded, long duration|3415L  |Orion silt loam, 0 to 2 percent slopes, frequently flooded, long duration 
3415L         |Orion silt loam, frequently flooded, long duration ||

3428          |Coffeen silt loam, frequently flooded         |3428A  |Coffeen silt loam, 0 to 2 percent slopes, frequently flooded
3428A         |Coffeen silt loam, 0 to 2 percent slopes, frequently flooded||

3428L         |Coffeen silt loam, frequently flooded, long duration|3428L  |Coffeen silt loam, 0 to 2 percent slopes, frequently flooded, long duration
3428L         |Coffeen silt loam, 0 to 2 percent slopes, frequently flooded, long duration||

3475          |Elsah gravelly loam, frequently flooded       |3475A  |Elsah gravelly loam, 0 to 2 percent slopes, frequently flooded 
3475A         |Elsah gravelly loam, 0 to 2 percent slopes, frequently flooded||

3475L         |Elsah gravelly loam, 0 to 2 percent slopes, frequently flooded, long duration|3475L  |Elsah gravelly loam, 0 to 2 percent slopes, frequently flooded, long duration
3475L         |Elsah gravelly loam, frequently flooded, long duration||
3877L

3070L|Blake-Slacwater silt loams, 0 to 2 percent slopes, frequently flooded, long duration
Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration|3877L|Blake-Slacwater silt loams, 0 to 2 percent slopes, frequently flooded, long duration

7088          |Sparta loamy fine sand, rarely flooded        |7088A  |Sparta loamy fine sand, 0 to 2 percent slopes, rarely flooded
7088A         |Sparta loamy fine sand, 0 to 2 percent slopes, rarely flooded||
430B          |Raddle silt loam, 1 to 5 percent slopes       |7430B  |Raddle silt loam, 2 to 5 percent slopes, rarely flooded
I agree       
|||
7430B         |Raddle silt loam, 2 to 5 percent slopes, rarely flooded       ||
7242A

242A|Kendall silt loam, 0 to 2 percent slopes, rarely flooded
Kendall silt loam, 0 to 2 percent slopes|7242A|Kendall silt loam, 0 to 2 percent slopes, rarely flooded

815           |Udorthents, silty                             |7815B  |Udorthents, silty, undulating, rarely flooded 
7815B         |Udorthents, silty, undulating, rarely flooded ||

8070          |Beaucoup silty clay loam, occasionally flooded|8070A  |Beaucoup silty clay loam, 0 to 2 percent slopes, occasionally flooded 
8070A         |Beaucoup silty clay loam, 0 to 2 percent slopes, occasionally flooded||

8071          |Darwin silty clay loam, occasionally flooded  |8071A  |Darwin silty clay loam, 0 to 2 percent slopes, occasionally flooded
8071A         |Darwin silty clay loam, 0 to 2 percent slopes, occasionally flooded||

8092          |Sarpy loamy fine sand, occasionally flooded   |8092A  |Sarpy loamy fine sand, 0 to 2 percent slopes, occasionally flooded
8092A         |Sarpy loamy fine sand, 0 to 2 percent slopes, occasionally flooded||

8162A         |Gorham silty clay loam, 0 to 2 percent slopes, occasionally flooded|8162A  |Gorham silty clay loam, 0 to 2 percent slopes, occasionally flooded

8341          |Ambraw silt loam, sandy substratum, occasionally flooded ||

8180          |Dupo silt loam, occasionally flooded          |8180A  |Dupo silt loam, 0 to 2 percent slopes, occasionally flooded
8180A         |Dupo silt loam, 0 to 2 percent slopes, occasionally flooded||

8183          |Shaffton silty clay loam, occasionally flooded|8183A  |Shaffton silty clay loam, 0 to 2 percent slopes, occasionally flooded
8183A         |Shaffton silty clay loam, 0 to 2 percent slopes, occasionally flooded||

8217          |Twomile silt loam, occasionally flooded       |8217A  |Twomile silt loam, 0 to 2 percent slopes, occasionally flooded 
8217A         |Twomile silt loam, 0 to 2 percent slopes, occasionally flooded||

8284          |Tice silt loam, occasionally flooded          |8284A  |Tice silty clay loam, 0 to 2 percent slopes, occasionally flooded 
8284A         |Tice silty clay loam, 0 to 2 percent slopes, occasionally flooded||

8288          |Petrolia silt loam, occasionally flooded      |8288A  |Petrolia silt loam, 0 to 2 percent slopes, occasionally flooded
8288A         |Petrolia silt loam, 0 to 2 percent slopes, occasionally flooded||

8302          |Ambraw loam, occasionally flooded             |8302A  |Ambraw clay loam, 0 to 2 percent slopes, occasionally flooded 
8302A         |Ambraw clay loam, 0 to 2 percent slopes, occasionally flooded||

8331          |Haymond silt loam, occasionally flooded       |8331A  |Haymond silt loam, 0 to 2 percent slopes, occasionally flooded
8331A         |Haymond silt loam, 0 to 2 percent slopes, occasionally flooded||

8333          |Wakeland silt loam, occasionally flooded      |8333A  |Wakeland silt loam, 0 to 2 percent slopes, occasionally flooded 
8333A         |Wakeland silt loam, 0 to 2 percent slopes, occasionally flooded||

8349B, 7088|Zumbro sandy loam, 1 to 6 percent slopes, occasionally flooded
Sparta loamy fine sand, rarely flooded|8349B
|Zumbro sandy loam, 1 to 6 percent slopes, occasionally flooded

8395          |Ceresco loam, occasionally flooded            |8395A  |Ceresco loam, 0 to 2 percent slopes, occasionally flooded 
8395A         |Ceresco loam, 0 to 2 percent slopes, occasionally flooded||

8396          |Vesser silt loam, occasionally flooded        |8396A  |Vesser silt loam, 0 to 2 percent slopes, occasionally flooded
8396A         |Vesser silt loam, 0 to 2 percent slopes, occasionally flooded||

8404          |Titus silty clay, occasionally flooded        |8404A  |Titus silty clay loam, 0 to 2 percent slopes, occasionally flooded
8404A         |Titus silty clay loam, 0 to 2 percent slopes, occasionally flooded||

8415          |Orion silt loam, occasionally flooded         |8415A  |Orion silt loam, 0 to 2 percent slopes, occasionally flooded
8415A         |Orion silt loam, 0 to 2 percent slopes, occasionally flooded||

8428          |Coffeen silt loam, occasionally flooded       |8428A  |Coffeen silt loam, 0 to 2 percent slopes, occasionally flooded
8428A         |Coffeen silt loam, 0 to 2 percent slopes, occasionally flooded||

8451          |Lawson silt loam, occasionally flooded        |8451A  |Lawson silt loam, 0 to 2 percent slopes, occasionally flooded 
8451A         |Lawson silt loam, 0 to 2 percent slopes, occasionally flooded||

8452          |Riley silty clay loam, occasionally flooded   |8452A  |Riley silty clay loam, 0 to 2 percent slopes, occasionally flooded
8452A         |Riley silty clay loam, 0 to 2 percent slopes, occasionally flooded||

8331          |Haymond silt loam, occasionally flooded       |8634A  |Blyton silt loam, 0 to 2 percent slopes, occasionally flooded 
8634A         |Blyton silt loam, 0 to 2 percent slopes, occasionally flooded||

430B          |Raddle silt loam, 1 to 5 percent slopes       |8674A  |Dozaville silt loam, 0 to 2 percent slopes, occasionally flooded  Will determine if A or B slope this spring
8674A         |Dozaville silt loam, 0 to 2 percent slopes, occasionally flooded||

8789          |Ambraw-Ceresco-Sarpy complex, occasionally flooded |8789A  |Ambraw-Ceresco-Sarpy complex, 0 to 2 percent slopes, occasionally flooded
